Age,Gender,Race,Marital Status,Education Level,Years of Experience,Skills Score,Culture Fit Score,Job Role Applied For,Hiring Decision
18,Female,Other,Married,PhD,16,1,4,Management,Not Hired
29,Prefer not to say,Black,Married,High School,21,5,10,Management,Hired
24,Prefer not to say,Asian,Divorced,PhD,38,8,10,HR,Hired
32,Prefer not to say,Hispanic,Single,PhD,40,2,8,Sales,Hired
38,Non-Binary,Prefer not to say,Single,PhD,17,4,2,Marketing,Not Hired
36,Prefer not to say,White,Divorced,High School,27,6,5,HR,Hired
46,Male,Asian,Married,PhD,12,1,6,HR,Not Hired
42,Female,Other,Married,High School,0,4,1,Management,Not Hired
50,Prefer not to say,Asian,Single,Bachelor's,18,4,1,HR,Not Hired
49,Prefer not to say,Other,Divorced,PhD,33,9,9,Engineer,Hired
52,Non-Binary,Other,Divorced,Master's,3,9,5,Engineer,Hired
61,Non-Binary,Prefer not to say,Married,Master's,2,6,4,Marketing,Not Hired
55,Female,Other,Married,Master's,40,8,1,HR,Hired
43,Male,Black,Divorced,Master's,9,10,3,Management,Not Hired
28,Female,Hispanic,Single,Master's,27,4,4,Marketing,Hired
52,Prefer not to say,Asian,Married,High School,33,10,5,Sales,Hired
25,Male,Hispanic,Divorced,Bachelor's,38,8,10,Management,Hired
63,Male,White,Divorced,High School,18,3,5,Sales,Not Hired
31,Male,Asian,Divorced,PhD,35,2,10,Marketing,Hired
27,Male,Hispanic,Single,Bachelor's,2,6,8,Engineer,Not Hired
19,Female,Hispanic,Married,Bachelor's,22,5,3,Management,Not Hired
63,Non-Binary,Prefer not to say,Married,Bachelor's,16,8,7,Management,Hired
26,Non-Binary,Prefer not to say,Married,Bachelor's,6,1,6,Marketing,Not Hired
20,Prefer not to say,White,Single,Master's,25,10,10,Management,Hired
38,Non-Binary,Other,Married,PhD,17,3,10,Management,Hired
43,Non-Binary,Asian,Married,Bachelor's,5,7,10,Marketing,Hired
25,Non-Binary,Prefer not to say,Married,Bachelor's,30,10,6,HR,Hired
65,Non-Binary,Asian,Married,Master's,28,4,10,Marketing,Hired
19,Prefer not to say,White,Single,High School,8,10,9,Management,Hired
23,Female,Prefer not to say,Divorced,High School,34,5,7,Marketing,Hired
45,Male,Prefer not to say,Divorced,High School,16,8,7,Management,Not Hired
46,Non-Binary,Other,Married,PhD,11,1,1,Sales,Not Hired
43,Female,Asian,Married,High School,35,1,1,Sales,Not Hired
42,Non-Binary,Asian,Married,Bachelor's,23,7,9,Engineer,Hired
29,Non-Binary,Asian,Single,Master's,9,9,9,Marketing,Hired
22,Male,Other,Married,Master's,29,4,10,Marketing,Hired
51,Male,Prefer not to say,Single,High School,28,8,3,Sales,Hired
65,Male,White,Married,Master's,38,10,8,Sales,Hired
54,Non-Binary,Asian,Married,Bachelor's,9,7,9,Sales,Hired
32,Non-Binary,Hispanic,Divorced,High School,38,2,1,Engineer,Hired
61,Non-Binary,Other,Married,Bachelor's,27,5,3,Engineer,Not Hired
53,Male,Black,Single,PhD,17,9,6,HR,Hired
32,Prefer not to say,White,Divorced,Bachelor's,40,9,4,Marketing,Hired
60,Female,Hispanic,Single,Bachelor's,16,3,8,Engineer,Hired
65,Prefer not to say,Asian,Divorced,Bachelor's,10,3,9,Management,Hired
40,Non-Binary,Black,Single,Bachelor's,0,2,7,Marketing,Not Hired
23,Non-Binary,White,Divorced,PhD,16,7,1,HR,Not Hired
63,Prefer not to say,Other,Single,High School,35,6,2,Sales,Not Hired
61,Non-Binary,Black,Single,Bachelor's,35,5,1,HR,Hired
60,Female,Prefer not to say,Married,High School,8,7,9,Marketing,Hired
62,Non-Binary,Black,Divorced,Master's,27,4,4,Sales,Hired
38,Female,Hispanic,Divorced,Bachelor's,32,5,10,HR,Hired
40,Prefer not to say,White,Married,Bachelor's,2,9,8,HR,Not Hired
60,Prefer not to say,Hispanic,Single,Master's,7,9,5,Marketing,Not Hired
33,Non-Binary,Hispanic,Single,High School,5,4,5,Engineer,Not Hired
64,Female,Asian,Divorced,PhD,5,6,5,Management,Not Hired
32,Non-Binary,Other,Single,Bachelor's,28,2,5,HR,Hired
42,Male,Black,Divorced,Master's,36,3,3,Management,Hired
53,Male,White,Divorced,Master's,11,9,6,Marketing,Hired
28,Male,Prefer not to say,Single,Bachelor's,8,6,1,Marketing,Not Hired
32,Male,Other,Single,High School,40,8,8,Engineer,Hired
21,Non-Binary,Other,Single,High School,18,5,4,Sales,Hired
38,Male,White,Married,Bachelor's,16,2,6,Management,Not Hired
30,Female,Other,Divorced,Master's,31,7,2,HR,Not Hired
39,Prefer not to say,Asian,Single,Bachelor's,34,6,2,Sales,Hired
36,Prefer not to say,Other,Married,PhD,13,2,8,Management,Not Hired
51,Male,Asian,Single,PhD,15,6,1,Management,Not Hired
31,Male,Black,Divorced,High School,20,8,8,Sales,Hired
21,Male,Black,Married,PhD,11,1,10,Sales,Not Hired
65,Non-Binary,Hispanic,Divorced,Master's,23,4,10,Engineer,Hired
63,Prefer not to say,Asian,Single,PhD,33,1,1,HR,Not Hired
44,Male,Prefer not to say,Single,Bachelor's,7,2,9,HR,Not Hired
46,Female,Black,Single,Master's,20,1,1,HR,Not Hired
64,Male,Other,Married,High School,7,6,4,Sales,Not Hired
45,Prefer not to say,White,Married,High School,27,6,9,Engineer,Hired
52,Male,White,Married,PhD,15,1,1,Marketing,Not Hired
25,Prefer not to say,Asian,Married,High School,9,4,9,Engineer,Hired
33,Male,Prefer not to say,Single,Bachelor's,14,4,8,Sales,Hired
59,Female,Hispanic,Single,Master's,3,8,5,Engineer,Not Hired
53,Male,Other,Single,Bachelor's,25,6,6,Sales,Hired
47,Female,Asian,Married,Bachelor's,14,2,5,Management,Not Hired
35,Female,White,Married,Bachelor's,35,5,4,Management,Hired
19,Male,Asian,Single,Bachelor's,31,4,10,Marketing,Hired
30,Female,Other,Single,Master's,37,10,4,Management,Hired
21,Non-Binary,Prefer not to say,Married,Master's,3,4,10,Marketing,Hired
43,Male,Prefer not to say,Divorced,Bachelor's,40,8,8,HR,Hired
42,Male,Black,Single,Bachelor's,8,5,8,Sales,Hired
47,Female,Other,Single,High School,34,3,9,HR,Hired
28,Female,Black,Single,High School,27,10,3,HR,Hired
24,Male,Black,Married,Master's,36,4,10,Marketing,Hired
48,Non-Binary,Black,Single,High School,8,1,8,Sales,Not Hired
61,Female,Asian,Single,Master's,1,6,3,Marketing,Not Hired
27,Female,White,Single,Master's,2,10,2,Engineer,Not Hired
56,Prefer not to say,Prefer not to say,Single,PhD,4,4,2,HR,Not Hired
30,Non-Binary,Asian,Single,Master's,9,6,9,Sales,Not Hired
48,Non-Binary,White,Divorced,High School,27,2,4,HR,Not Hired
24,Male,Prefer not to say,Divorced,PhD,14,5,5,Engineer,Hired
59,Non-Binary,Other,Single,High School,13,9,2,Engineer,Not Hired
59,Male,Prefer not to say,Single,Master's,22,8,9,Sales,Hired
53,Prefer not to say,Prefer not to say,Single,Master's,12,3,7,Sales,Not Hired
37,Non-Binary,Prefer not to say,Single,Bachelor's,15,1,3,Engineer,Not Hired
21,Female,Hispanic,Married,Master's,29,10,6,HR,Hired
24,Prefer not to say,Other,Married,PhD,39,3,7,Management,Hired
18,Male,Asian,Married,Master's,7,8,6,HR,Hired
61,Prefer not to say,Asian,Divorced,Bachelor's,16,3,10,Management,Not Hired
62,Male,White,Single,Master's,29,5,10,Marketing,Hired
59,Prefer not to say,Asian,Married,Master's,16,2,6,Sales,Not Hired
64,Male,Black,Single,Master's,34,1,8,Engineer,Hired
30,Non-Binary,Prefer not to say,Single,Bachelor's,0,10,8,Marketing,Not Hired
39,Female,Asian,Divorced,High School,23,5,5,HR,Not Hired
38,Male,White,Divorced,Master's,24,5,4,Management,Not Hired
39,Prefer not to say,White,Married,PhD,1,6,5,Sales,Not Hired
45,Male,Black,Married,Bachelor's,24,2,9,Management,Hired
26,Male,White,Divorced,PhD,13,9,10,HR,Hired
43,Male,Hispanic,Divorced,Master's,38,2,6,HR,Not Hired
26,Prefer not to say,Prefer not to say,Single,Bachelor's,32,2,3,Engineer,Not Hired
32,Female,Prefer not to say,Single,Master's,16,5,3,Marketing,Not Hired
27,Non-Binary,Prefer not to say,Married,PhD,30,9,1,Sales,Hired
41,Female,Other,Married,Bachelor's,9,4,5,Engineer,Not Hired
59,Male,Asian,Divorced,High School,5,6,6,Management,Not Hired
25,Prefer not to say,Hispanic,Married,High School,38,2,8,Marketing,Hired
41,Female,Asian,Single,High School,24,4,9,Sales,Not Hired
33,Male,Hispanic,Divorced,Master's,37,9,7,Management,Hired
43,Non-Binary,Asian,Single,Bachelor's,36,2,1,Sales,Not Hired
44,Non-Binary,Black,Divorced,PhD,29,1,7,Sales,Not Hired
54,Non-Binary,White,Divorced,PhD,33,4,10,Marketing,Hired
21,Male,White,Single,Master's,17,4,9,Management,Hired
41,Prefer not to say,Black,Married,Master's,23,1,4,Engineer,Not Hired
36,Female,Hispanic,Married,PhD,26,4,7,Engineer,Hired
53,Non-Binary,Other,Married,Bachelor's,26,3,9,Engineer,Hired
56,Male,Hispanic,Married,Master's,38,2,1,Sales,Not Hired
27,Male,White,Single,Bachelor's,20,10,10,HR,Hired
42,Female,Other,Divorced,PhD,18,4,9,Marketing,Hired
35,Non-Binary,Asian,Single,Bachelor's,38,8,4,Engineer,Hired
36,Male,Other,Married,High School,22,7,8,Marketing,Hired
53,Female,Hispanic,Married,PhD,38,9,3,Sales,Hired
27,Prefer not to say,Black,Single,High School,14,8,2,Marketing,Not Hired
50,Prefer not to say,Asian,Divorced,PhD,1,1,8,Engineer,Not Hired
22,Prefer not to say,Hispanic,Single,High School,34,2,8,Engineer,Not Hired
64,Non-Binary,Asian,Single,Bachelor's,19,2,3,Sales,Not Hired
52,Female,Other,Single,PhD,27,8,8,Sales,Hired
61,Female,White,Divorced,PhD,14,4,6,Management,Not Hired
51,Male,Hispanic,Single,High School,15,9,10,Sales,Hired
50,Male,Black,Single,Bachelor's,32,2,9,HR,Hired
38,Male,Other,Married,PhD,11,4,10,HR,Hired
34,Female,Hispanic,Single,Master's,38,1,6,Engineer,Hired
39,Male,Black,Married,High School,38,3,8,Sales,Hired
65,Female,Hispanic,Married,PhD,19,6,2,HR,Not Hired
54,Female,Other,Married,Bachelor's,28,9,1,HR,Hired
32,Prefer not to say,Hispanic,Divorced,Bachelor's,2,1,10,Management,Not Hired
52,Male,Asian,Married,Bachelor's,4,5,10,Sales,Not Hired
45,Prefer not to say,Other,Single,Bachelor's,1,2,2,Management,Not Hired
24,Non-Binary,Hispanic,Single,High School,22,7,4,Marketing,Hired
49,Non-Binary,White,Married,PhD,25,4,10,Management,Hired
28,Non-Binary,Hispanic,Married,High School,25,5,9,Marketing,Hired
27,Female,Asian,Single,High School,6,8,7,Marketing,Hired
26,Female,Black,Married,Bachelor's,9,2,9,Sales,Not Hired
31,Female,Black,Divorced,Master's,4,3,9,Marketing,Not Hired
30,Male,Black,Married,Bachelor's,11,5,9,Marketing,Hired
42,Prefer not to say,White,Divorced,Master's,31,10,8,Management,Hired
19,Female,Asian,Divorced,High School,30,4,6,Sales,Hired
52,Prefer not to say,Other,Divorced,Bachelor's,21,5,10,Sales,Hired
24,Prefer not to say,Black,Married,Bachelor's,16,3,7,Marketing,Not Hired
38,Prefer not to say,Asian,Divorced,High School,19,9,2,Management,Not Hired
35,Male,Hispanic,Divorced,Bachelor's,19,8,1,Management,Not Hired
20,Male,White,Married,PhD,7,6,5,Management,Not Hired
59,Non-Binary,Asian,Divorced,Master's,33,1,8,Management,Hired
56,Non-Binary,Asian,Married,Master's,22,4,3,Engineer,Not Hired
58,Prefer not to say,Other,Single,Master's,37,7,7,Marketing,Hired
28,Non-Binary,Asian,Divorced,Bachelor's,27,10,5,Marketing,Hired
56,Prefer not to say,Other,Married,PhD,12,5,10,Marketing,Not Hired
41,Male,White,Single,Bachelor's,28,4,8,Sales,Hired
63,Male,White,Divorced,Master's,7,9,6,Sales,Hired
36,Male,Hispanic,Divorced,Bachelor's,10,8,6,Management,Not Hired
21,Female,Other,Married,Master's,17,3,7,Sales,Not Hired
43,Prefer not to say,Other,Single,High School,24,6,7,HR,Hired
55,Male,Black,Married,Master's,21,4,4,Marketing,Not Hired
59,Prefer not to say,Black,Divorced,High School,34,7,10,Marketing,Hired
49,Non-Binary,Hispanic,Divorced,High School,28,1,10,Engineer,Hired
56,Non-Binary,White,Divorced,High School,20,1,10,Engineer,Hired
62,Male,Prefer not to say,Divorced,Master's,6,6,8,HR,Not Hired
63,Prefer not to say,Black,Single,PhD,11,10,6,Engineer,Not Hired
53,Male,Asian,Single,Master's,35,7,8,Management,Hired
57,Non-Binary,White,Married,Bachelor's,23,9,7,Management,Hired
54,Male,Prefer not to say,Married,Bachelor's,31,7,1,Marketing,Not Hired
50,Prefer not to say,Asian,Married,PhD,26,9,4,Management,Hired
53,Non-Binary,Other,Divorced,PhD,31,10,7,Engineer,Hired
20,Female,White,Married,PhD,31,9,9,HR,Hired
26,Non-Binary,Hispanic,Single,High School,31,8,2,Management,Hired
25,Female,Other,Married,PhD,25,7,5,Marketing,Hired
50,Male,Other,Married,PhD,10,3,9,Marketing,Not Hired
23,Male,Asian,Single,PhD,17,3,9,Engineer,Not Hired
58,Prefer not to say,Other,Single,Master's,38,5,6,Management,Hired
56,Female,Black,Divorced,Bachelor's,4,7,7,Engineer,Hired
21,Male,White,Single,Bachelor's,15,10,9,Marketing,Hired
30,Female,Black,Single,PhD,10,7,10,HR,Hired
19,Male,Asian,Married,Bachelor's,34,1,8,Management,Hired
22,Non-Binary,Prefer not to say,Single,Master's,10,8,10,HR,Hired
61,Male,Asian,Divorced,Bachelor's,22,1,6,Management,Not Hired
44,Prefer not to say,White,Married,High School,33,4,6,Marketing,Hired
49,Non-Binary,Other,Divorced,Master's,16,2,7,Management,Hired
38,Prefer not to say,Hispanic,Single,Bachelor's,9,5,7,Marketing,Not Hired
25,Non-Binary,Asian,Divorced,Bachelor's,17,6,2,Sales,Hired
55,Female,White,Divorced,Master's,7,4,9,Marketing,Hired
25,Prefer not to say,Hispanic,Single,Bachelor's,25,4,4,Marketing,Hired
20,Male,Other,Single,Bachelor's,2,7,10,Management,Not Hired
61,Female,Prefer not to say,Married,PhD,23,4,9,HR,Hired
20,Male,Asian,Married,High School,2,2,10,Marketing,Hired
39,Non-Binary,Prefer not to say,Married,Master's,37,4,3,Management,Hired
23,Non-Binary,White,Single,PhD,1,7,5,Marketing,Not Hired
19,Male,Prefer not to say,Divorced,Bachelor's,34,1,5,Engineer,Not Hired
40,Male,Prefer not to say,Divorced,Master's,16,4,7,Engineer,Hired
61,Female,White,Married,Master's,8,6,4,Engineer,Not Hired
19,Male,White,Married,High School,35,8,4,Engineer,Hired
55,Prefer not to say,Asian,Single,High School,21,8,1,HR,Not Hired
34,Prefer not to say,Prefer not to say,Divorced,Master's,30,9,6,Marketing,Hired
52,Male,Hispanic,Married,High School,33,5,4,Engineer,Hired
51,Prefer not to say,White,Single,High School,23,2,10,Management,Hired
40,Male,Other,Married,Bachelor's,8,3,10,Engineer,Not Hired
47,Female,Prefer not to say,Single,High School,1,2,5,Sales,Not Hired
25,Prefer not to say,White,Divorced,High School,20,9,9,Sales,Hired
39,Prefer not to say,Hispanic,Single,PhD,33,6,4,HR,Hired
61,Male,Asian,Married,Bachelor's,26,1,1,Sales,Not Hired
53,Prefer not to say,Prefer not to say,Married,Bachelor's,36,3,9,Management,Hired
22,Non-Binary,White,Divorced,Master's,6,7,5,Engineer,Not Hired
30,Female,White,Divorced,High School,21,7,10,Sales,Hired
46,Female,Other,Married,PhD,3,5,7,Sales,Not Hired
48,Prefer not to say,Other,Married,PhD,13,3,3,HR,Not Hired
64,Prefer not to say,Prefer not to say,Married,Bachelor's,33,7,4,Sales,Hired
33,Non-Binary,White,Divorced,High School,22,5,10,Engineer,Hired
59,Non-Binary,Prefer not to say,Married,PhD,24,6,9,Marketing,Hired
47,Prefer not to say,White,Divorced,Master's,0,3,10,Engineer,Not Hired
33,Prefer not to say,Other,Married,High School,14,6,1,Sales,Not Hired
29,Non-Binary,Hispanic,Single,High School,31,7,5,Sales,Hired
34,Male,Black,Single,High School,13,8,8,Sales,Hired
33,Non-Binary,Black,Married,PhD,40,2,10,HR,Hired
29,Male,White,Single,Bachelor's,20,2,7,Management,Not Hired
25,Female,Other,Divorced,Bachelor's,6,6,4,Engineer,Not Hired
37,Female,Asian,Single,Master's,35,8,7,Sales,Hired
20,Non-Binary,Asian,Single,PhD,20,5,1,Marketing,Not Hired
33,Male,Black,Divorced,High School,39,1,6,HR,Hired
47,Non-Binary,Hispanic,Single,Master's,11,1,9,Management,Not Hired
62,Non-Binary,Black,Single,Master's,14,10,3,Sales,Not Hired
40,Male,White,Married,Bachelor's,14,9,4,Engineer,Hired
45,Non-Binary,Hispanic,Divorced,High School,16,4,8,Marketing,Not Hired
57,Female,Asian,Divorced,High School,33,10,5,HR,Hired
22,Prefer not to say,Other,Married,PhD,34,1,5,Engineer,Hired
37,Prefer not to say,Other,Married,PhD,38,8,1,Engineer,Hired
57,Non-Binary,White,Single,PhD,37,2,6,HR,Not Hired
61,Male,Black,Single,Master's,13,2,2,Engineer,Not Hired
18,Male,White,Single,High School,4,1,1,Marketing,Not Hired
47,Female,Other,Married,Bachelor's,29,1,6,Marketing,Not Hired
38,Male,Asian,Divorced,Master's,3,9,5,Engineer,Hired
37,Male,Other,Single,Master's,14,1,5,Sales,Not Hired
23,Female,Hispanic,Married,Bachelor's,38,6,9,Engineer,Hired
39,Non-Binary,Prefer not to say,Divorced,Bachelor's,34,7,10,Sales,Hired
35,Prefer not to say,Other,Married,PhD,9,4,10,Engineer,Hired
25,Female,Other,Single,Bachelor's,1,5,3,Management,Not Hired
56,Non-Binary,Prefer not to say,Married,Bachelor's,23,4,1,Marketing,Not Hired
49,Female,Hispanic,Married,Bachelor's,27,4,8,Engineer,Hired
50,Non-Binary,Black,Married,Bachelor's,21,10,5,Marketing,Hired
33,Female,Other,Married,PhD,31,1,5,HR,Not Hired
29,Non-Binary,White,Divorced,Master's,30,6,8,Management,Hired
55,Female,Other,Single,High School,18,10,8,Sales,Hired
51,Non-Binary,White,Divorced,High School,20,10,2,HR,Not Hired
31,Female,Hispanic,Married,Master's,2,7,3,Management,Not Hired
53,Prefer not to say,Other,Married,High School,5,7,10,HR,Hired
50,Prefer not to say,Hispanic,Single,High School,31,8,10,Marketing,Hired
40,Male,Hispanic,Single,Master's,1,7,1,Management,Not Hired
62,Non-Binary,Black,Divorced,High School,23,6,3,HR,Hired
19,Female,Other,Divorced,High School,26,8,4,Sales,Hired
58,Non-Binary,White,Single,Master's,8,3,7,Management,Not Hired
38,Prefer not to say,White,Divorced,High School,12,9,9,Management,Hired
19,Non-Binary,Other,Married,Bachelor's,13,3,5,HR,Not Hired
44,Female,Prefer not to say,Married,Master's,10,4,1,Engineer,Not Hired
26,Non-Binary,Black,Single,PhD,13,10,2,Sales,Not Hired
18,Female,Black,Divorced,High School,15,6,10,Sales,Hired
28,Prefer not to say,Black,Married,PhD,9,8,2,HR,Not Hired
20,Prefer not to say,White,Single,High School,19,3,9,Marketing,Not Hired
40,Prefer not to say,Hispanic,Divorced,Bachelor's,15,10,10,Marketing,Hired
43,Male,Prefer not to say,Married,Master's,33,6,7,Engineer,Hired
21,Prefer not to say,Black,Divorced,PhD,15,5,2,Engineer,Not Hired
35,Non-Binary,White,Divorced,Master's,13,5,1,HR,Not Hired
23,Male,White,Divorced,PhD,27,5,5,Marketing,Not Hired
52,Prefer not to say,Hispanic,Single,High School,17,9,1,Sales,Not Hired
39,Non-Binary,Other,Married,Bachelor's,25,7,9,Marketing,Hired
60,Non-Binary,Other,Single,PhD,37,9,3,HR,Hired
32,Non-Binary,Black,Married,PhD,6,9,2,Marketing,Hired
39,Female,Black,Married,Bachelor's,33,6,6,Management,Hired
54,Male,Prefer not to say,Single,Bachelor's,6,6,3,HR,Not Hired
59,Non-Binary,Hispanic,Single,Bachelor's,32,4,5,Management,Hired
29,Female,Black,Married,Bachelor's,34,8,10,HR,Hired
64,Prefer not to say,Hispanic,Married,Bachelor's,38,2,8,Sales,Hired
59,Non-Binary,White,Married,Master's,20,5,10,HR,Hired
55,Female,Black,Divorced,High School,27,1,2,HR,Not Hired
35,Non-Binary,White,Married,High School,31,10,5,HR,Hired
62,Male,Asian,Single,PhD,15,2,8,HR,Not Hired
52,Male,Hispanic,Single,Bachelor's,9,1,1,Engineer,Not Hired
47,Prefer not to say,Asian,Single,Master's,22,6,10,Management,Hired
41,Non-Binary,Black,Married,Master's,14,2,10,HR,Hired
59,Female,White,Married,PhD,5,4,4,HR,Not Hired
47,Prefer not to say,Black,Divorced,Bachelor's,32,5,5,Engineer,Hired
31,Non-Binary,Asian,Divorced,High School,38,7,10,Marketing,Hired
23,Prefer not to say,Black,Single,Bachelor's,11,10,3,Engineer,Not Hired
20,Female,Prefer not to say,Divorced,Master's,35,1,2,Engineer,Not Hired
33,Prefer not to say,Other,Divorced,Bachelor's,30,5,3,Engineer,Not Hired
24,Prefer not to say,Asian,Single,High School,9,4,5,HR,Not Hired
31,Prefer not to say,Black,Married,High School,33,7,7,Engineer,Hired
26,Non-Binary,White,Divorced,PhD,40,10,2,Engineer,Hired
32,Female,Black,Married,Master's,9,7,7,Engineer,Hired
38,Male,White,Single,Bachelor's,10,8,6,HR,Not Hired
52,Non-Binary,Other,Single,Bachelor's,13,4,7,Sales,Hired
19,Male,Black,Divorced,PhD,2,4,7,Sales,Not Hired
44,Male,Other,Single,PhD,32,10,9,Marketing,Hired
19,Non-Binary,Asian,Single,PhD,6,5,7,HR,Not Hired
52,Non-Binary,White,Single,Master's,3,5,6,Engineer,Not Hired
35,Female,Prefer not to say,Divorced,Bachelor's,38,3,10,Engineer,Hired
31,Female,Asian,Divorced,PhD,9,5,8,Engineer,Hired
37,Prefer not to say,White,Divorced,Master's,14,5,7,Sales,Hired
35,Male,Other,Single,Bachelor's,15,8,6,Engineer,Not Hired
27,Female,Hispanic,Married,High School,37,7,4,Engineer,Hired
42,Prefer not to say,Black,Single,PhD,3,8,7,Sales,Hired
19,Female,Other,Divorced,Master's,3,5,8,Engineer,Not Hired
42,Non-Binary,White,Married,Bachelor's,35,2,8,Marketing,Hired
50,Female,White,Married,Bachelor's,26,8,4,Management,Not Hired
53,Male,White,Divorced,PhD,21,9,10,Marketing,Hired
48,Female,White,Married,PhD,21,2,9,HR,Hired
31,Male,Black,Married,Bachelor's,16,1,3,Marketing,Not Hired
18,Non-Binary,Asian,Divorced,Master's,33,6,9,Marketing,Hired
63,Male,Prefer not to say,Married,High School,31,3,3,Sales,Not Hired
33,Female,Hispanic,Married,Bachelor's,5,1,7,HR,Not Hired
63,Prefer not to say,Black,Divorced,Master's,32,6,4,Marketing,Hired
20,Non-Binary,White,Married,PhD,7,8,5,Management,Not Hired
52,Female,Black,Married,Bachelor's,35,9,3,Marketing,Hired
58,Non-Binary,Other,Married,PhD,4,6,2,Engineer,Not Hired
23,Non-Binary,Prefer not to say,Married,High School,4,6,8,Sales,Not Hired
42,Female,White,Divorced,PhD,9,1,7,Engineer,Not Hired
30,Female,Hispanic,Single,High School,39,5,7,HR,Hired
51,Prefer not to say,White,Single,PhD,6,3,8,HR,Not Hired
25,Non-Binary,Prefer not to say,Married,PhD,11,7,1,Sales,Not Hired
38,Non-Binary,Hispanic,Divorced,High School,29,9,8,Marketing,Hired
51,Female,Prefer not to say,Divorced,PhD,24,6,10,HR,Hired
21,Male,Hispanic,Married,Master's,27,5,5,Management,Hired
42,Female,Asian,Single,PhD,12,7,8,Sales,Hired
32,Non-Binary,Asian,Married,Bachelor's,21,9,9,Engineer,Hired
21,Female,Black,Divorced,PhD,17,5,2,Management,Not Hired
62,Prefer not to say,Black,Divorced,Master's,26,5,3,Sales,Hired
29,Male,Hispanic,Single,Bachelor's,7,10,6,Management,Hired
49,Female,White,Divorced,Master's,5,4,9,Sales,Not Hired
49,Prefer not to say,Other,Divorced,Bachelor's,10,5,10,Engineer,Hired
45,Non-Binary,Other,Divorced,PhD,28,7,10,Marketing,Hired
30,Female,White,Single,Master's,40,3,8,Sales,Hired
48,Non-Binary,White,Divorced,PhD,4,4,6,HR,Not Hired
31,Prefer not to say,Asian,Married,Bachelor's,6,9,5,Engineer,Hired
37,Non-Binary,Other,Single,Master's,21,2,3,Engineer,Not Hired
35,Prefer not to say,Hispanic,Married,High School,3,8,4,Management,Not Hired
46,Prefer not to say,Prefer not to say,Married,Master's,31,9,7,HR,Hired
23,Prefer not to say,Black,Single,PhD,18,5,7,Management,Hired
49,Female,Prefer not to say,Married,High School,32,7,3,Engineer,Hired
46,Non-Binary,Asian,Single,High School,0,6,4,Sales,Not Hired
60,Non-Binary,Other,Married,Bachelor's,40,1,3,HR,Not Hired
19,Male,White,Single,High School,40,8,2,Engineer,Hired
40,Male,Other,Divorced,High School,7,9,6,HR,Hired
36,Male,Hispanic,Divorced,Bachelor's,31,10,7,Sales,Hired
48,Male,Asian,Married,Master's,29,1,4,Marketing,Not Hired
22,Non-Binary,White,Divorced,PhD,27,8,5,Management,Hired
36,Prefer not to say,Prefer not to say,Single,Master's,40,3,8,Management,Hired
51,Prefer not to say,Hispanic,Married,High School,31,6,9,Engineer,Hired
27,Female,Prefer not to say,Divorced,PhD,24,10,7,Engineer,Hired
42,Prefer not to say,Black,Divorced,Master's,33,8,10,Sales,Hired
19,Non-Binary,Asian,Married,PhD,32,5,1,Engineer,Not Hired
28,Non-Binary,Hispanic,Divorced,High School,12,8,3,Engineer,Hired
48,Non-Binary,Hispanic,Divorced,Master's,24,7,5,Engineer,Hired
32,Female,Prefer not to say,Married,PhD,39,7,3,HR,Hired
26,Male,White,Divorced,PhD,38,7,1,HR,Not Hired
40,Prefer not to say,Black,Divorced,Master's,9,9,2,Marketing,Not Hired
36,Non-Binary,Prefer not to say,Divorced,Master's,30,6,8,HR,Hired
26,Non-Binary,Hispanic,Divorced,High School,10,6,7,Management,Hired
52,Male,Asian,Married,Bachelor's,24,9,10,Marketing,Hired
38,Non-Binary,Hispanic,Single,PhD,33,6,3,Engineer,Hired
26,Prefer not to say,Other,Single,Master's,19,7,4,Management,Hired
45,Female,Asian,Divorced,Master's,6,7,3,Marketing,Not Hired
63,Non-Binary,Asian,Divorced,Master's,32,2,4,Marketing,Hired
24,Prefer not to say,Hispanic,Single,PhD,34,8,8,Management,Hired
33,Non-Binary,White,Divorced,High School,28,6,9,Marketing,Hired
33,Male,Asian,Single,Bachelor's,11,4,7,Management,Not Hired
50,Non-Binary,Other,Married,PhD,4,7,9,Marketing,Hired
21,Non-Binary,Prefer not to say,Married,High School,11,8,9,Marketing,Hired
21,Female,White,Married,PhD,28,1,7,Marketing,Hired
56,Male,White,Married,PhD,34,10,7,Management,Hired
57,Male,White,Married,Master's,19,4,8,Marketing,Not Hired
34,Female,Asian,Married,High School,36,4,10,HR,Hired
54,Non-Binary,White,Single,Master's,0,10,3,HR,Not Hired
56,Prefer not to say,Hispanic,Divorced,Master's,15,9,8,HR,Hired
46,Male,White,Single,High School,29,6,1,HR,Not Hired
53,Male,Other,Married,Master's,8,4,6,HR,Not Hired
55,Non-Binary,Black,Divorced,Master's,9,1,2,Engineer,Not Hired
56,Non-Binary,Other,Divorced,Bachelor's,12,8,7,Marketing,Hired
54,Male,Asian,Married,High School,19,9,3,Sales,Not Hired
52,Non-Binary,White,Married,High School,28,5,10,Engineer,Hired
24,Prefer not to say,White,Married,Master's,3,5,5,Management,Not Hired
44,Male,Hispanic,Married,Master's,27,10,10,Engineer,Hired
45,Prefer not to say,Prefer not to say,Married,High School,36,8,2,Sales,Not Hired
39,Prefer not to say,White,Married,High School,12,8,1,Engineer,Not Hired
